,data_mes,satelite,bioma,qtd
303,2015-02-01,AQUA_M-T,Amazônia,1047
304,2015-02-01,AQUA_M-T,Caatinga,138
305,2015-02-01,AQUA_M-T,Cerrado,383
306,2015-02-01,AQUA_M-T,Mata Atlântica,389
307,2015-02-01,AQUA_M-T,Pampa,18
308,2015-02-01,AQUA_M-T,Pantanal,51
309,2015-02-01,NPP-375,Amazônia,7346
310,2015-02-01,NPP-375,Caatinga,1947
311,2015-02-01,NPP-375,Cerrado,2044
312,2015-02-01,NPP-375,Mata Atlântica,3932
313,2015-02-01,NPP-375,Pampa,177
314,2015-02-01,NPP-375,Pantanal,421
315,2015-03-01,AQUA_M-T,Amazônia,572
316,2015-03-01,AQUA_M-T,Caatinga,99
317,2015-03-01,AQUA_M-T,Cerrado,528
318,2015-03-01,AQUA_M-T,Mata Atlântica,384
319,2015-03-01,AQUA_M-T,Pampa,48
320,2015-03-01,AQUA_M-T,Pantanal,28
321,2015-03-01,NPP-375,Amazônia,3275
322,2015-03-01,NPP-375,Caatinga,1392
323,2015-03-01,NPP-375,Cerrado,1368
324,2015-03-01,NPP-375,Mata Atlântica,3091
325,2015-03-01,NPP-375,Pampa,474
326,2015-03-01,NPP-375,Pantanal,211
327,2015-04-01,AQUA_M-T,Amazônia,762
328,2015-04-01,AQUA_M-T,Caatinga,86
329,2015-04-01,AQUA_M-T,Cerrado,634
330,2015-04-01,AQUA_M-T,Mata Atlântica,371
331,2015-04-01,AQUA_M-T,Pampa,142
332,2015-04-01,AQUA_M-T,Pantanal,29
333,2015-04-01,NPP-375,Amazônia,4730
334,2015-04-01,NPP-375,Caatinga,1286
335,2015-04-01,NPP-375,Cerrado,1776
336,2015-04-01,NPP-375,Mata Atlântica,3845
337,2015-04-01,NPP-375,Pampa,726
338,2015-04-01,NPP-375,Pantanal,198
339,2015-05-01,AQUA_M-T,Amazônia,407
340,2015-05-01,AQUA_M-T,Caatinga,81
341,2015-05-01,AQUA_M-T,Cerrado,1174
342,2015-05-01,AQUA_M-T,Mata Atlântica,349
343,2015-05-01,AQUA_M-T,Pampa,122
344,2015-05-01,AQUA_M-T,Pantanal,36
345,2015-05-01,NPP-375,Amazônia,2402
346,2015-05-01,NPP-375,Caatinga,1054
347,2015-05-01,NPP-375,Cerrado,6106
348,2015-05-01,NPP-375,Mata Atlântica,2103
349,2015-05-01,NPP-375,Pampa,453
350,2015-05-01,NPP-375,Pantanal,286
351,2015-06-01,AQUA_M-T,Amazônia,1287
352,2015-06-01,AQUA_M-T,Caatinga,155
353,2015-06-01,AQUA_M-T,Cerrado,3313
354,2015-06-01,AQUA_M-T,Mata Atlântica,539
355,2015-06-01,AQUA_M-T,Pampa,57
356,2015-06-01,AQUA_M-T,Pantanal,218
357,2015-06-01,NPP-375,Amazônia,10036
358,2015-06-01,NPP-375,Caatinga,1771
359,2015-06-01,NPP-375,Cerrado,19319
360,2015-06-01,NPP-375,Mata Atlântica,3142
361,2015-06-01,NPP-375,Pampa,263
362,2015-06-01,NPP-375,Pantanal,1015
363,2015-07-01,AQUA_M-T,Amazônia,2817
364,2015-07-01,AQUA_M-T,Caatinga,285
365,2015-07-01,AQUA_M-T,Cerrado,4662
366,2015-07-01,AQUA_M-T,Mata Atlântica,528
367,2015-07-01,AQUA_M-T,Pampa,24
368,2015-07-01,AQUA_M-T,Pantanal,225
369,2015-07-01,NPP-375,Amazônia,18804
370,2015-07-01,NPP-375,Caatinga,2868
371,2015-07-01,NPP-375,Cerrado,32802
372,2015-07-01,NPP-375,Mata Atlântica,3258
373,2015-07-01,NPP-375,Pampa,212
374,2015-07-01,NPP-375,Pantanal,1024
375,2015-08-01,AQUA_M-T,Amazônia,20471
376,2015-08-01,AQUA_M-T,Caatinga,1203
377,2015-08-01,AQUA_M-T,Cerrado,12684
378,2015-08-01,AQUA_M-T,Mata Atlântica,2414
379,2015-08-01,AQUA_M-T,Pampa,86
380,2015-08-01,AQUA_M-T,Pantanal,1025
381,2015-08-01,NPP-375,Amazônia,127670
382,2015-08-01,NPP-375,Caatinga,9575
383,2015-08-01,NPP-375,Cerrado,94900
384,2015-08-01,NPP-375,Mata Atlântica,13938
385,2015-08-01,NPP-375,Pampa,758
386,2015-08-01,NPP-375,Pantanal,6376
387,2015-08-01,NPP-375,,1
388,2015-09-01,AQUA_M-T,Amazônia,29326
389,2015-09-01,AQUA_M-T,Caatinga,4079
390,2015-09-01,AQUA_M-T,Cerrado,23795
391,2015-09-01,AQUA_M-T,Mata Atlântica,3219
392,2015-09-01,AQUA_M-T,Pampa,139
393,2015-09-01,AQUA_M-T,Pantanal,1181
394,2015-09-01,NPP-375,Amazônia,208204
395,2015-09-01,NPP-375,Caatinga,26897
396,2015-09-01,NPP-375,Cerrado,198217
397,2015-09-01,NPP-375,Mata Atlântica,18483
398,2015-09-01,NPP-375,Pampa,742
399,2015-09-01,NPP-375,Pantanal,8162
400,2015-10-01,AQUA_M-T,Amazônia,19469
401,2015-10-01,AQUA_M-T,Caatinga,3909
402,2015-10-01,AQUA_M-T,Cerrado,19531
403,2015-10-01,AQUA_M-T,Mata Atlântica,2991
404,2015-10-01,AQUA_M-T,Pampa,47
405,2015-10-01,AQUA_M-T,Pantanal,794
406,2015-10-01,NPP-375,Amazônia,170344
407,2015-10-01,NPP-375,Caatinga,28055
408,2015-10-01,NPP-375,Cerrado,194753
409,2015-10-01,NPP-375,Mata Atlântica,21248
410,2015-10-01,NPP-375,Pampa,216
411,2015-10-01,NPP-375,Pantanal,5288
412,2015-11-01,AQUA_M-T,Amazônia,16935
413,2015-11-01,AQUA_M-T,Caatinga,2599
414,2015-11-01,AQUA_M-T,Cerrado,4731
415,2015-11-01,AQUA_M-T,Mata Atlântica,1852
416,2015-11-01,AQUA_M-T,Pampa,12
417,2015-11-01,AQUA_M-T,Pantanal,282
418,2015-11-01,NPP-375,Amazônia,141781
419,2015-11-01,NPP-375,Caatinga,17281
420,2015-11-01,NPP-375,Cerrado,40825
421,2015-11-01,NPP-375,Mata Atlântica,15228
422,2015-11-01,NPP-375,Pampa,154
423,2015-11-01,NPP-375,Pantanal,2152
